Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
KUBE;"ПАО ""Россети Кубань""";ао;1-02-00063-A;398 966 076;202,6;80 830 526 997,60;;;;
KUZB;"ПАО Банк ""Кузнецкий""";ао;10100609B;22 503 490 875;0,0397;893 388 587,74;;;;
KZOS;"ПАО ""Казаньоргсинтез""";ао;1-02-55245-D;1 785 114 000;88,8;158 518 123 200,00;;;;
KZOSP;"ПАО ""Казаньоргсинтез""";ап;2-02-55245-D;119 596 000;21,49;2 570 118 040,00;;;;
LEAS;"ПАО ""ЛК ""Европлан""";ао;1-01-16419-A;120 000 000;685;82 200 000 000,00;;;;
LENT;"МКПАО ""Лента""";ао;1-01-16686-A;115 985 197;1127;130 715 317 019,00;;;;
LIFE;"ПАО ""Фармсинтез""";ао;1-02-09669-J;440 394 854;4,03;1 774 791 261,62;;;;
LKOH;"ПАО ""ЛУКОЙЛ""";ао;1-01-00077-A;692 865 762;6936;4 805 716 925 232,00;;;;
LNZL;"ПАО ""Лензолото""";ао;1-02-40433-N;1 140 300;12190;13 900 257 000,00;;;;
LNZLP;"ПАО ""Лензолото""";ап;2-02-40433-N;347 700;1965;683 230 500,00;;;;
LPSB;"ПАО ""ЛЭСК""";ао;1-01-65097-D;155 521 950;74,95;11 656 370 152,50;;;;
LSNG;"ПАО ""Россети Ленэнерго""";ао;1-01-00073-A;8 523 785 320;15,31;130 499 153 249,20;;;;
LSNGP;"ПАО ""Россети Ленэнерго""";ап;2-01-00073-A;93 264 311;195,1;18 195 867 076,10;;;;
LSRG;"ПАО ""Группа ЛСР""";ао;1-01-55234-E;103 030 215;698,4;71 956 302 156,00;;;;
LVHK;"ПАО ""Левенгук""";ао;1-01-04329-D;52 940 000;38,25;2 024 955 000,00;;;;
MAGE;"ПАО ""Магаданэнерго""";ао;1-01-00254-A;463 838 268;3,81;1 767 223 801,08;;;;
MAGEP;"ПАО ""Магаданэнерго""";ап;2-01-00254-A;145 673 254;2,87;418 082 238,98;;;;
MAGN;"ПАО ""ММК""";ао;1-03-00078-A;11 174 330 000;45,495;508 376 143 350,00;;;;
MBNK;"ПАО ""МТС-Банк""";ао;10102268B;34 629 063;1717,5;59 475 415 702,50;;;;
MDMG;"МКПАО ""МД Медикал Груп""";ао;1-01-16802-A;75 125 010;905,5;68 025 696 555,00;;;;
MFGS;"ПАО ""СН-МНГ""";ао;1-03-00149-A;99 474 705;395,5;39 342 245 827,50;;;;
MFGSP;"ПАО ""СН-МНГ""";ап;2-03-00149-A;33 056 875;249,5;8 247 690 312,50;;;;
MGKL;"ПАО ""МГКЛ""";ао;1-01-11915-A;1 268 545 000;2,4405;3 095 884 072,50;;;;
MGNT;"ПАО ""Магнит""";ао;1-01-60525-P;101 911 355;5726;583 544 418 730,00;;;;
MGNZ;"ОАО ""СМЗ""";ао;1-01-00283-A;398 272;;;;;;
MGTS;ПАО МГТС;ао;1-05-00083-A;79 708 751;1350;107 606 813 850,00;;;;
MGTSP;ПАО МГТС;ап;2-04-00083-A;15 514 042;1032;16 010 491 344,00;;;;
MISB;"ПАО ""ТНС энерго Марий Эл""";ао;1-01-50086-A;121 847 780;59,1;7 201 203 798,00;;;;
MISBP;"ПАО ""ТНС энерго Марий Эл""";ап;2-01-50086-A;10 652 220;58,1;618 893 982,00;;;;
MOEX;ПАО Московская Биржа;ао;1-05-08443-H;2 276 401 458;220,24;501 354 657 109,92;;;;
MRKC;"ПАО ""Россети Центр""";ао;1-01-10214-A;42 217 941 468;0,3882;16 389 004 877,88;;;;
MRKK;"ПАО ""Россети Северный Кавказ""";ао;1-01-34747-E;2 093 354 170;20,54;42 997 494 651,80;;;;
MRKP;"ПАО ""Россети Центр и Приволжье""";ао;1-01-12665-E;112 697 817 043;0,3287;37 043 772 462,03;;;;
MRKS;"ПАО ""Россети Сибирь""";ао;1-01-12044-F;94 815 163 249;0,5875;55 703 908 408,79;;;;
MRKU;"ПАО ""Россети Урал""";ао;1-01-32501-D;87 430 485 711;0,407;35 584 207 684,38;;;;
MRKV;"ПАО ""Россети Волга""";ао;1-01-04247-E;188 307 958 732;0,06435;12 117 617 144,40;;;;
MRKY;"ПАО ""Россети Юг""";ао;1-01-34956-E;151 641 426 354;0,06525;9 894 603 069,60;;;;
MRKZ;"ПАО ""Россети Северо-Запад""";ао;1-01-03347-D;95 785 923 138;0,068;6 513 442 773,38;;;;
MRSB;"ПАО ""Мордовская энергосбытовая компания""; ПАО ""Мордовэнергосбыт""";ао;1-01-55055-E;1 345 037 710;0,723;972 462 264,33;;;;
MSNG;"ПАО ""Мосэнерго""";ао;1-01-00085-A;39 749 359 700;2,4535;97 525 054 023,95;;;;
MSRS;"ПАО ""Россети Московский регион"", ПАО ""Россети МР""";ао;1-01-65116-D;48 707 091 574;1,231;59 958 429 727,59;;;;
MSTT;"ПАО ""МОСТОТРЕСТ""";ао;1-03-02472-A;282 215 500;177,45;50 079 140 475,00;;;;
MTLR;"ПАО ""Мечел""";ао;1-01-55005-E;416 270 745;125,22;52 125 422 688,90;;;;
MTLRP;"ПАО ""Мечел""";ап;2-01-55005-E;138 756 915;129,55;17 975 958 338,25;;;;
MTSS;"ПАО ""МТС""";ао;1-01-04715-A;1 998 381 575;207,15;413 964 743 261,25;;;;
MVID;"ПАО ""М.видео""";ао;1-02-11700-A;179 768 227;113;20 313 809 651,00;;;;
NAUK;"ПАО НПО ""Наука""";ао;1-01-04440-A;11 789 500;506,5;5 971 381 750,00;;;;
NFAZ;"ПАО ""НЕФАЗ""";ао;1-01-30520-D;8 038 896;361;2 902 041 456,00;;;;
NKHP;"ПАО ""НКХП""";ао;1-03-35684-E;67 597 000;819,5;55 395 741 500,00;;;;
NKNC;"ПАО ""Нижнекамскнефтехим""";ао;1-02-00096-A;1 611 256 000;93,2;150 169 059 200,00;;;;
NKNCP;"ПАО ""Нижнекамскнефтехим""";ап;2-02-00096-A;218 983 750;71,76;15 714 273 900,00;;;;
NKSH;"ПАО ""Нижнекамскшина""";ао;1-02-55032-D;63 731 171;58,05;3 699 594 476,55;;;;
NLMK;"ПАО ""НЛМК""";ао;1-01-00102-A;5 993 227 240;144,56;866 380 929 814,40;;;;
NMTP;"ПАО ""НМТП""";ао;1-01-30251-E;19 259 815 400;8,95;172 375 347 830,00;;;;
NNSB;"ПАО ""ТНС энерго НН""";ао;1-01-55072-E;3 919 400;4940;19 361 836 000,00;;;;
NNSBP;"ПАО ""ТНС энерго НН""";ап;2-01-55072-E;1 063 512;1428;1 518 695 136,00;;;;
NSVZ;"ПАО ""Наука-Связь""";ао;1-01-12689-A;15 701 562;359;5 636 860 758,00;;;;
NVTK;"ПАО ""НОВАТЭК""";ао;1-02-00268-E;3 036 306 000;1031;3 130 431 486 000,00;;;;
OGKB;"ПАО ""ОГК-2""";ао;1-02-65105-D;110 441 160 870;0,3626;40 045 964 931,46;;;;
OMZZP;ПАО ОМЗ;ап;2-01-30174-D;2 750 000;14860;40 865 000 000,00;;;;
